sex,weight,chord,tl,hl,tu,cl,bdt,bdg
male,49,159,23.2,40,6.1,16,6.1,5.1
female,50,167,23,40.8,4.5,15,6.1,5
male,50,162,24.3,41.9,4.1,15.8,5.9,5
male,49,158,23.1,41.1,5.3,15.2,6.5,5
female,49,162,23.6,41.1,3.6,15.1,6,5
male,50,157,22.9,39.6,5.9,15.2,6.4,5
female,52,168,23.7,41.1,6.1,15.9,6.1,5
male,43,158,24.9,42.1,6.7,16.7,6.2,4.8
female,46,163,24,42,4.7,15.5,6.5,5.5
female,48,163,24.3,39.7,5.2,16.2,6,4.8
male,42,157,23.9,40.5,5.3,15.2,6.2,5
female,54,165,23.9,39,6.5,15.3,6.2,4.7
male,49,163,24.9,41,4.4,16.8,6.1,4.8
female,46,160,25.7,41.4,4,15.6,5.5,5.2
male,52,156,21.8,40.9,4.4,14.8,5.8,5
female,47,162,22.8,39.7,5.5,14.1,6.6,5.2
male,46,161,23.4,40.3,4.5,15.8,6.1,4.7
female,55,162,24.5,39.5,6.4,15,6.2,4.9
male,50,158,23.7,40.2,5.3,14.4,7,4.7
female,50,167,24.8,40.3,6.3,15.9,6,5.2
male,49,159,23.3,40.1,5.4,16,5.9,5.3
female,46,164,23.9,46.5,5.3,15.8,6,5
female,54,165,24.6,41.6,4.9,15.3,6.3,5
male,52,156,24.1,41.4,5.3,15.2,6.5,5.4
female,43,160,24.5,39.7,5.3,15.9,5.5,4.8
female,50,164,25.1,41.2,5,15.4,5.4,4.8
male,51,156,23.8,39.6,4.9,15.5,5.9,5
female,51,164,23,39,5.5,15.1,6.5,5
female,49,161,24.7,41.5,4.6,16.2,6.5,5.3
male,44,153,23,41,4.5,15.2,6.2,5.1
female,47,159,24.1,40.8,3.9,14.5,5.7,4.8
female,52,167,23.6,41,5.3,15.9,6,4.7
male,47,156,22,41,6,16.1,6.4,5.2
female,56,163,24.4,41.1,5.2,16.2,6.3,4.7
male,47,160,24.8,41,5.4,15.4,6,4.6
female,52,168,25.1,42.2,5,15.8,6.2,4.9
female,51,161,22.8,40.7,5.2,15.9,5.9,5
female,55,164,23.5,41.2,4.9,15.4,5.9,4.7
male,54,162,23.7,42.2,4.8,16.2,6.2,5.2
female,48,159,23.4,41.5,4.1,16.1,6.2,5
male,42,155,23.4,40.7,4.2,15,6.2,5.1
female,46,162,23.9,42.2,5,16.3,6.6,5
female,48,166,23.9,40.8,4,14.5,6.5,4.4
female,50,164,24,41.3,3.5,15.7,5.9,4.9
female,47,162,22.6,41.1,6.2,15.8,6.5,5.6
female,48,162,23.1,39.5,5,14.9,6.1,5
male,45,159,23.4,40.3,5,14.9,6,4.6
male,51,157,23.6,40.8,4.4,15,6,4.7
male,41,160,24.5,39,5.4,15.6,6.2,4.7
female,46,162,23.9,40.5,5.6,15.2,6.1,5.3
male,45,158,24.5,40.9,4.1,16.4,5.8,5.3
female,50,162,23.5,40.9,5.1,14.9,6.8,5.2
male,44,159,24.7,41,5.3,15.9,6.1,4.9
male,42,160,24.9,41,3.8,14.9,6,4.8
male,47,160,23.3,40.3,5.1,15.2,6.4,5
male,49.5,159,23.1,41.9,5.1,15.4,6.5,5.1
female,52,165,24.2,38.2,4.6,15,6.8,5.7
male,50,159,23.5,40.6,5.4,15.2,6.2,4.9
male,45,158,24.9,38.9,5.8,15.1,6.1,4.7
female,46,164,22.75,42.5,4.8,15.2,6.7,5.2
female,46,164,23.8,41.8,4.5,15.4,7,5.4
